Bar, Hd, Package  [VF_Sweep.1], field-amp  [VF_Sweep.1], field-angle  [VF_Sweep.1], Cycle  [VF_Sweep.1], pts/cycle  [VF_Sweep.1], Pre-ColdMR Ch0  [VF_Sweep.1], BeforeColdMR Ch0  [VF_Sweep.1], BeforeHotMR Ch0  [VF_Sweep.1], HotMR current Ch0  [VF_Sweep.1], HotMR Voltage Ch0  [VF_Sweep.1], asy Ch0  [VF_Sweep.1], amp Ch0  [VF_Sweep.1], bias Ch0  [VF_Sweep.1], B-jump Ch0  [VF_Sweep.1], dV_field Ch0  [VF_Sweep.1], Hys Ch0  [VF_Sweep.1], TCR Ch0  [VF_Sweep.1], TCR2 Ch0  [VF_Sweep.1], OL (%) Ch0  [VF_Sweep.1], CLP (%) Ch0  [VF_Sweep.1], Pre-ColdMR Ch1  [VF_Sweep.1], BeforeColdMR Ch1  [VF_Sweep.1], BeforeHotMR Ch1  [VF_Sweep.1], HotMR current Ch1  [VF_Sweep.1], HotMR Voltage Ch1  [VF_Sweep.1], asy Ch1  [VF_Sweep.1], amp Ch1  [VF_Sweep.1], bias Ch1  [VF_Sweep.1], B-jump Ch1  [VF_Sweep.1], dV_field Ch1  [VF_Sweep.1], Hys Ch1  [VF_Sweep.1], TCR Ch1  [VF_Sweep.1], TCR2 Ch1  [VF_Sweep.1], OL (%) Ch1  [VF_Sweep.1], CLP (%) Ch1  [VF_Sweep.1], Package  [VF_Sweep.2], field-amp  [VF_Sweep.2], field-angle  [VF_Sweep.2], Cycle  [VF_Sweep.2], pts/cycle  [VF_Sweep.2], Pre-ColdMR Ch0  [VF_Sweep.2], BeforeColdMR Ch0  [VF_Sweep.2], BeforeHotMR Ch0  [VF_Sweep.2], HotMR current Ch0  [VF_Sweep.2], HotMR Voltage Ch0  [VF_Sweep.2], asy Ch0  [VF_Sweep.2], amp Ch0  [VF_Sweep.2], bias Ch0  [VF_Sweep.2], B-jump Ch0  [VF_Sweep.2], dV_field Ch0  [VF_Sweep.2], Hys Ch0  [VF_Sweep.2], TCR Ch0  [VF_Sweep.2], TCR2 Ch0  [VF_Sweep.2], OL (%) Ch0  [VF_Sweep.2], CLP (%) Ch0  [VF_Sweep.2], Pre-ColdMR Ch1  [VF_Sweep.2], BeforeColdMR Ch1  [VF_Sweep.2], BeforeHotMR Ch1  [VF_Sweep.2], HotMR current Ch1  [VF_Sweep.2], HotMR Voltage Ch1  [VF_Sweep.2], asy Ch1  [VF_Sweep.2], amp Ch1  [VF_Sweep.2], bias Ch1  [VF_Sweep.2], B-jump Ch1  [VF_Sweep.2], dV_field Ch1  [VF_Sweep.2], Hys Ch1  [VF_Sweep.2], TCR Ch1  [VF_Sweep.2], TCR2 Ch1  [VF_Sweep.2], OL (%) Ch1  [VF_Sweep.2], CLP (%) Ch1  [VF_Sweep.2], Package  [VF_Sweep.3], field-amp  [VF_Sweep.3], field-angle  [VF_Sweep.3], Cycle  [VF_Sweep.3], pts/cycle  [VF_Sweep.3], Pre-ColdMR Ch0  [VF_Sweep.3], BeforeColdMR Ch0  [VF_Sweep.3], BeforeHotMR Ch0  [VF_Sweep.3], HotMR current Ch0  [VF_Sweep.3], HotMR Voltage Ch0  [VF_Sweep.3], asy Ch0  [VF_Sweep.3], amp Ch0  [VF_Sweep.3], bias Ch0  [VF_Sweep.3], B-jump Ch0  [VF_Sweep.3], dV_field Ch0  [VF_Sweep.3], Hys Ch0  [VF_Sweep.3], TCR Ch0  [VF_Sweep.3], TCR2 Ch0  [VF_Sweep.3], OL (%) Ch0  [VF_Sweep.3], CLP (%) Ch0  [VF_Sweep.3], Pre-ColdMR Ch1  [VF_Sweep.3], BeforeColdMR Ch1  [VF_Sweep.3], BeforeHotMR Ch1  [VF_Sweep.3], HotMR current Ch1  [VF_Sweep.3], HotMR Voltage Ch1  [VF_Sweep.3], asy Ch1  [VF_Sweep.3], amp Ch1  [VF_Sweep.3], bias Ch1  [VF_Sweep.3], B-jump Ch1  [VF_Sweep.3], dV_field Ch1  [VF_Sweep.3], Hys Ch1  [VF_Sweep.3], TCR Ch1  [VF_Sweep.3], TCR2 Ch1  [VF_Sweep.3], OL (%) Ch1  [VF_Sweep.3], CLP (%) Ch1  [VF_Sweep.3], Package  [VF_Sweep.4], field-amp  [VF_Sweep.4], field-angle  [VF_Sweep.4], Cycle  [VF_Sweep.4], pts/cycle  [VF_Sweep.4], Pre-ColdMR Ch0  [VF_Sweep.4], BeforeColdMR Ch0  [VF_Sweep.4], BeforeHotMR Ch0  [VF_Sweep.4], HotMR current Ch0  [VF_Sweep.4], HotMR Voltage Ch0  [VF_Sweep.4], asy Ch0  [VF_Sweep.4], amp Ch0  [VF_Sweep.4], bias Ch0  [VF_Sweep.4], B-jump Ch0  [VF_Sweep.4], dV_field Ch0  [VF_Sweep.4], Hys Ch0  [VF_Sweep.4], TCR Ch0  [VF_Sweep.4], TCR2 Ch0  [VF_Sweep.4], OL (%) Ch0  [VF_Sweep.4], CLP (%) Ch0  [VF_Sweep.4], Pre-ColdMR Ch1  [VF_Sweep.4], BeforeColdMR Ch1  [VF_Sweep.4], BeforeHotMR Ch1  [VF_Sweep.4], HotMR current Ch1  [VF_Sweep.4], HotMR Voltage Ch1  [VF_Sweep.4], asy Ch1  [VF_Sweep.4], amp Ch1  [VF_Sweep.4], bias Ch1  [VF_Sweep.4], B-jump Ch1  [VF_Sweep.4], dV_field Ch1  [VF_Sweep.4], Hys Ch1  [VF_Sweep.4], TCR Ch1  [VF_Sweep.4], TCR2 Ch1  [VF_Sweep.4], OL (%) Ch1  [VF_Sweep.4], CLP (%) Ch1  [VF_Sweep.4]
5,1, Dead Head: Ch0,6000,90,0,0,4663.113901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,8000,180,0,0,4663.620216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,6000,90,0,0,4663.828032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,10000,-90,0,0,4662.953946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2, Dead Head: Ch0,6000,90,0,0,4664.354498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,8000,180,0,0,4664.166834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,6000,90,0,0,4664.220992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,10000,-90,0,0,4663.618956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3, Dead Head: Ch0,6000,90,0,0,1453.548368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,8000,180,0,0,1453.453907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,6000,90,0,0,1453.560963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,10000,-90,0,0,1453.461464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4, Dead Head: Ch0,6000,90,0,0,1478.67645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,8000,180,0,0,1478.549242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,6000,90,0,0,1478.568134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,10000,-90,0,0,1478.396844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5, Dead Head: Ch0,6000,90,0,0,1490.746142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,8000,180,0,0,1490.753699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,6000,90,0,0,1490.781407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,10000,-90,0,0,1490.777629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6, Dead Head: Ch0,6000,90,0,0,1482.715634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,8000,180,0,0,1482.713115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,6000,90,0,0,1482.87559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dead Head: Ch0,10000,-90,0,0,1482.734527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7, ,6000,90,1,12,643.8163007,643.7548376,634.2644281,0.220851824,140.078456,-100,8656.97751,0.220851824,19.42561178,2000.442623,36.0241058,0,0,99.91170526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,8000,180,1,256,643.8295253,643.2310158,635.4663387,0.220192702,139.9250502,-38.21212847,18933.15517,0.220192702,52.1899364,-3870.290135,2.711076716,101.9016571,-101.9016571,199.4978245,0.068508605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,6000,90,1,12,641.1087754,642.1686361,632.9748728,0.220644336,139.6623206,-100,8415.02951,0.220644336,21.37757622,2997.104331,35.1169391,0,0,99.96798572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,10000,-90,1,320,643.4281259,642.2778338,633.376218,0.220622045,139.7367564,-91.34245809,12615.93194,0.220622045,5.009633911,-371.4438884,1.11326135,35.42784607,35.42784607,199.9106782,0.343278169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8, ,6000,90,1,12,614.3614933,613.1181249,607.3897286,0.230017152,139.7100553,-100,13972.15061,0.230017152,23.57146077,999.1752457,30.81680685,0,0,100.0106377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,8000,180,1,256,613.3850108,612.7703798,606.5418709,0.230270157,139.6684921,-7.666359315,35993.00811,0.230270157,33.88276421,-5624.885483,9.467284782,201.7855217,-201.7855217,198.2938494,0.029860317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,6000,90,1,12,606.7833948,610.9509207,604.2595599,0.231642642,139.972281,-100,13859.04842,0.231642642,27.35897925,1000.6276,34.06462183,0,0,100.0594777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,10000,-90,1,320,613.1110718,612.4012233,605.7204572,0.230570989,139.6615649,-66.06742596,21852.51409,0.230570989,30.53839446,373.4617483,1.968960519,38.96930474,-38.96930474,199.7146655,0.228012383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9, ,6000,90,1,12,437.4126161,437.2267154,434.1857373,0.322170241,139.8817237,-100,6638.77098,0.322170241,21.51394422,997.1814207,32.15548433,0,0,99.98460322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,8000,180,1,256,437.9902181,438.0104959,435.1463859,0.320914856,139.6449396,11.18688137,21313.71692,0.320914856,37.2450879,-4125.5669,2.199455564,105.13383,-105.13383,199.3445725,0.312125141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,6000,90,1,12,436.2980935,437.6221952,435.6552574,0.321448079,140.0405454,-100,6801.623017,0.321448079,22.49319482,998.6468505,31.97884571,0,0,100.011512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,10000,-90,1,320,437.8171642,437.3759649,435.2427891,0.321656344,139.9986044,-70.29156254,10583.49318,0.321656344,5.770558134,498.1720221,2.186311686,34.16055096,34.16055096,199.9308173,0.114442126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10, ,6000,90,1,12,358.3817693,358.3424733,355.934404,0.3931957,139.9518773,-84.55559388,5476.891597,0.3931957,28.51787973,997.2081444,32.07632068,0,0,99.99226047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,8000,180,1,256,358.6882032,358.562758,355.9859553,0.391902926,139.5119375,-10.23323088,12539.22901,0.391902926,12.7865164,-4247.34138,3.225800896,91.66263563,-91.66263563,199.3076558,0.31663646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,6000,90,1,12,356.9812166,357.5390447,355.3174949,0.393595863,139.851496,-75.76665532,5548.682518,0.393595863,27.72443536,1996.226435,38.25724467,0,0,99.93164515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,10000,-90,1,320,358.0381805,357.9531649,356.5207396,0.393134068,140.1604488,-82.38348846,7591.323151,0.393134068,30.20423739,-252.1502198,0.034456113,39.84443342,-39.84443342,199.49085,1.736290624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
